Madison|01720033|[-12546247.7003, 5575673.224299997, -12395430.0149, 5757748.630799997]
Powell|01720021|[-12631032.8083, 5823051.082900003, -12500423.825199999, 6040592.872600002]
Rosebud|01716795|[-12011080.049899999, 5649475.166299999, -11809478.734399999, 5919188.904499998]
Valley|01678923|[-11957371.741799999, 6050549.613499999, -11778097.245199999, 6274849.844199999]
Harding|00933055|[-11626110.617, 4216937.497000001, -11506517.3868, 4330765.269500001]
Sierra|01702370|[-12022573.1543, 3843042.091499999, -11837762.0516, 3959206.8323999993]
Grant|01035300|[-11365341.0133, 5781445.963399999, -11245935.9048, 5896169.670899998]
Sioux|01034208|[-11354462.7457, 5771323.6175, -11188357.8809, 5849414.0375]
Williams|01035306|[-11582595.2356, 6099530.8596, -11446768.6075, 6213014.5692]
Clackamas|01155127|[-13677605.8074, 5603548.574500002, -13542208.4409, 5694498.688900002]
Gilliam|01135850|[-13431094.2929, 5631786.804499999, -13331637.683699999, 5750350.902699999]
Klamath|01155134|[-13613301.1381, 5159980.121299997, -13456225.6363, 5406313.423499997]
Lane|01135855|[-13821292.2928, 5378748.610799998, -13555083.7456, 5510516.639799998]
Linn|01135857|[-13721330.0894, 5496421.9067, -13557911.16, 5589220.0617]
Malheur|01135858|[-13161710.212299999, 5160530.164800003, -13012591.269799998, 5534484.081600003]
Multnomah|01135861|[-13684419.1252, 5689903.3517, -13560985.824, 5736977.9242]
Sherman|01135863|[-13473133.3543, 5634590.624499999, -13398158.2233, 5738341.763099999]
Meade|01266991|[-11529850.178, 5487150.686700001, -11354588.519399999, 5627768.133400002]
Pennington|01266995|[-11583405.1006, 5416843.331100002, -11354675.5604, 5544853.758400002]
Crane|01383837|[-11440047.5783, 3643951.156499997, -11388083.5134, 3717679.695899997]
Pecos|01383971|[-11531039.8117, 3510340.2700000033, -11328804.866, 3681065.443000003]
Ward|01384023|[-11533912.1947, 3667458.1181999967, -11439998.4865, 3717691.1990999966]
Beaver|01448015|[-12696043.237, 4600272.9619999975, -12505125.4843, 4660687.911599997]
Box Elder|01455966|[-12695160.2895, 5012327.270300001, -12453681.6651, 5161162.666900001]
Kane|01448026|[-12568124.7471, 4439152.123400003, -12316266.7993, 4515164.624500003]
Morgan|01448028|[-12454047.0107, 4979951.413599998, -12381120.2622, 5067665.138699998]
Salt Lake|01448031|[-12496751.3963, 4926319.883100003, -12418054.0639, 5000821.682900003]
Summit|01448035|[-12428725.4889, 4945965.603799999, -12245224.3991, 5049528.626199999]
Benton|01513302|[-13344634.714, 5754101.792499997, -13240461.4584, 5897692.074999996]
Chelan|01531932|[-13489776.91, 5984763.203699999, -13342726.1763, 6198970.805799998]
Clallam|01531341|[-13888562.9148, 6084703.4881, -13682735.368999999, 6172925.4896]
Cowlitz|01529156|[-13716548.9588, 5756430.649599999, -13607688.8326, 5842715.425299999]
Kittitas|01531926|[-13521554.7195, 5899009.704700001, -13350058.8747, 6040192.240700001]
Lincoln|01514052|[-13244741.0557, 5984679.430299997, -13115597.741600001, 6099821.0063999975]
Stevens|01531930|[-13180497.2501, 6072315.420599997, -13072194.6913, 6275005.489699997]
Park|01605079|[-12362797.5799, 5434751.3926, -12083794.5716, 5622452.0578]
Teton|01605083|[-12362624.443799999, 5347827.403300002, -12250871.242499998, 5569219.416700002]
Weston|01605086|[-11697609.908300001, 5388151.697099999, -11583293.675400002, 5493592.853299999]
Coconino|00025443|[-12618530.43, 4063554.0270000026, -12328710.2842, 4439553.207100002]
Graham|00025444|[-12296142.528, 3819160.1240999997, -12146514.6235, 3982270.4371999996]
La Paz|00043540|[-12771822.6039, 3898677.856399998, -12616198.379, 4071731.229599998]
Maricopa|00037026|[-12616326.6136, 3829776.273199998, -12360906.886300001, 4035272.613399998]
Yuma|00023901|[-12781316.7047, 3768400.532399997, -12616213.1767, 3957143.473399997]
Mendocino|00277287|[-13806206.7779, 4687148.981799997, -13672415.863, 4866252.102199998]
Mono|00277290|[-13319531.5673, 4503796.3072, -13117080.4423, 4680675.2588]
Riverside|00277297|[-13099665.5805, 3951977.3971000016, -12738841.5332, 4039524.1472000014]
San Benito|00277299|[-13541349.6965, 4327741.947499998, -13424749.2958, 4437566.524699998]
San Luis Obispo|00277304|[-13508216.7498, 4149957.781300001, -13299626.7102, 4272475.959400001]
Santa Barbara|00277306|[-13433176.946600001, 3956954.8871000037, -13250302.580400001, 4179477.0286000036]
Sutter|00277315|[-13575223.4745, 4683726.7277000025, -13515787.8701, 4765551.687700002]
Tulare|00277318|[-13310828.4746, 4271649.592100002, -13133559.6077, 4403591.606500002]
Clear Creek|00198125|[-11791744.189199999, 4802910.584600002, -11732847.1492, 4844458.919100001]
Costilla|00198127|[-11774418.5, 4438434.267499998, -11702987.9987, 4531245.669299998]
Denver|00198131|[-11700784.6778, 4810070.4014, -11644053.4725, 4853489.6392]
Huerfano|00198143|[-11744402.757, 4479483.801100001, -11616313.4034, 4582103.464200001]
Park|00198162|[-11823263.5236, 4677804.954499997, -11725077.4812, 4803391.743599997]
Rio Grande|00198168|[-11879084.788800001, 4494919.015799999, -11804143.2674, 4556178.2404]
San Miguel|00198172|[-12138625.907499999, 4547499.869000003, -11992760.162099998, 4601340.350100003]
Bannock|00395091|[-12551523.7498, 5199491.2863000035, -12453933.1512, 5315379.732800003]
Owyhee|00399760|[-13027387.6259, 5160383.020900004, -12805896.1744, 5416188.235000004]
Power|00394951|[-12606228.939399999, 5210148.207900003, -12510033.514099998, 5328900.031300003]
Teton|00399297|[-12401082.3456, 5388564.578900002, -12361497.0092, 5463003.835500002]
Twin Falls|00399334|[-12806001.474100001, 5160113.6633, -12690500.254, 5299549.3945]
Taos|00933056|[-11806364.1875, 4302413.031000003, -11710824.5535, 4438552.4590000035]
Golden Valley|01035617|[-11582337.9369, 5867433.026500002, -11533725.034599999, 5996147.922500001]
McKenzie|01035299|[-11582274.7184, 5995852.464400001, -11415991.2009, 6131262.347900001]
Morton|01034207|[-11365409.148, 5826014.3059, -11192523.134300001, 5939274.8243]
Carter|01688746|[-11692812.952399999, 5621118.186899997, -11581585.046899999, 5802266.910799997]
Fergus|01719614|[-12268922.779, 5892189.946099997, -12057354.699199999, 6074214.840499996]
Gallatin|01720053|[-12446119.365, 5539102.443999998, -12332401.2576, 5811306.109199998]
Judith Basin|01719602|[-12332898.7698, 5888709.683700003, -12216841.8156, 6010354.359000003]
Lewis and Clark|00793926|[-12597561.9278, 5847099.272100002, -12411528.1836, 6099192.955700002]
McCone|01716270|[-11847787.8146, 5957263.223399997, -11710207.466500001, 6123159.118399996]
Meagher|01719600|[-12429727.8143, 5809944.788699999, -12275535.3597, 5956500.0741]
Pondera|01719587|[-12618064.1029, 6104253.580499999, -12401940.4854, 6187692.556899999]
Roosevelt|01669428|[-11782515.170699999, 6106208.451499999, -11582139.7022, 6201095.792799999]
Teton|01720018|[-12580752.6915, 6024120.843500003, -12401929.685800001, 6129040.354000003]
Garden|00835856|[-11430185.4411, 5045074.303900003, -11352878.1482, 5162357.9497000035]
Churchill|00858638|[-13272194.5273, 4732183.8367, -13075760.231, 4866321.3444]
Lander|00863368|[-13114192.836199999, 4735063.526799999, -12978383.061199998, 5012401.207399999]
Pershing|00858646|[-13284791.110399999, 4865725.093999997, -13057774.461399999, 5006595.663099997]
McKinley|00929107|[-12139034.978799999, 4158307.75, -11945316.203599999, 4301018.5774]
Rio Arriba|01702368|[-11980975.8608, 4291090.918899998, -11747558.0921, 4439126.985999998]
Terrell|01384007|[-11417712.6437, 3475191.6925000027, -11315209.190299999, 3588455.5931000025]
Tooele|01448036|[-12695670.181400001, 4851958.059500001, -12483847.452100001, 5023690.139400002]
Uintah|01448037|[-12250514.172899999, 4788039.010300003, -12139173.968299998, 4991479.146000003]
Wasatch|01448039|[-12425590.6153, 4851297.983999997, -12344403.171, 4966861.866199997]
Pacific|01513274|[-13814567.7468, 5818859.739799999, -13732064.5629, 5908554.119699999]
Skagit|01531402|[-13663409.6483, 6156166.061800003, -13434638.0376, 6217000.963800003]
Snohomish|01529222|[-13626131.6868, 6069552.127599999, -13459219.4892, 6156782.499299999]
Yakima|01531929|[-13527984.501400001, 5786778.201499999, -13343361.5423, 5956606.667599998]
Big Horn|01605067|[-12091763.3946, 5491116.3298999965, -11927328.2042, 5621768.941799996]
Fremont|01605072|[-12251116.145399999, 5200217.663999997, -11967005.1244, 5466860.3720999975]
Apache|00025441|[-12245221.125799999, 3958579.6779000014, -12138859.890099999, 4439016.4317000015]
Butte|01675842|[-13588708.3946, 4764106.379900001, -13478197.5078, 4888042.075600001]
Solano|00277312|[-13626262.563000001, 4583908.6005000025, -13535702.698500002, 4655858.598900002]
Douglas|00198133|[-11725196.2623, 4740236.242299996, -11650768.707, 4803108.135699997]
Gunnison|00198141|[-11981879.0178, 4600198.416599996, -11827180.8492, 4758638.478699996]
Clatsop|01135846|[-13807645.3829, 5744071.431000002, -13732179.3218, 5827273.042200002]
Deschutes|01155130|[-13581277.2157, 5405321.731799997, -13346803.821, 5526516.302099997]
Douglas|01135849|[-13828011.9803, 5266306.732000001, -13578067.4221, 5456955.816500001]
Dewey|01266994|[-11299044.8655, 5578200.213799998, -11160591.105899999, 5696303.280099998]
Borden|01383802|[-11320222.9254, 3832290.1121999994, -11262569.8796, 3890473.8100999994]
Crockett|01383838|[-11398063.0852, 3540538.2062000036, -11238872.5011, 3644073.8641000036]
Hudspeth|01383900|[-11799644.7942, 3584691.4307999983, -11678238.165299999, 3763619.7878999985]
Presidio|01383974|[-11686353.5788, 3408597.5217000023, -11554149.0084, 3584691.430800002]
Reagan|01383977|[-11329674.7192, 3643052.985299997, -11272989.7115, 3717645.310099997]
Natrona|01605077|[-11971691.7873, 5225685.186499998, -11807722.9257, 5388681.429799998]
Calaveras|01675885|[-13469158.567, 4555639.406400003, -13360561.2686, 4651706.453000003]
Pitkin|00198164|[-11963056.7929, 4718481.542199999, -11847343.4966, 4774272.834099999]
Idaho|00395699|[-13001491.3421, 5638480.796599999, -12726082.9519, 5888223.422899999]
Blaine|01722470|[-12195247.3127, 6060383.1897, -12048817.5266, 6275054.6746]
Grant|01135851|[-13321826.2009, 5458855.761399999, -13160598.2568, 5621121.121099999]
