San Benito|00277299|[-2237103.0725, 1745621.9652999993, -2159043.1424, 1848484.4052999993]
San Luis Obispo|00277304|[-2243719.6646, 1577133.4543999992, -2101043.3389999997, 1716801.6034999993]
Santa Barbara|00277306|[-2218390.3209000006, 1411837.5733000003, -2103178.283800001, 1614248.8824000002]
Sutter|00277315|[-2193983.684800001, 2037657.0964000002, -2154840.756400001, 2108856.3524]
Tulare|00277318|[-2087220.4519999996, 1642410.6136000007, -1947744.1585999995, 1766457.5643000007]
Clear Creek|00198125|[-842301.8498, 1877888.0594999995, -796781.5479, 1912251.6328999996]
Costilla|00198127|[-859408.4075000007, 1589083.0198, -799244.8261000006, 1664222.1665999999]
Denver|00198131|[-773726.5188999996, 1880161.9762999993, -727816.5277999996, 1911023.1064999993]
Huerfano|00198143|[-829600.8847000003, 1621930.2969000004, -727251.1629000003, 1703379.4062000003]
Park|00198162|[-873118.6559999995, 1780392.6402000003, -797859.2521999995, 1881458.6427000002]
Rio Grande|00198168|[-937175.7324000001, 1642130.7189000007, -874505.2036000001, 1696754.8534000006]
San Miguel|00198172|[-1132646.2919999994, 1701772.2544999998, -1018913.3638999994, 1757532.9776999997]
Bannock|00395091|[-1352772.2752, 2248347.0453999992, -1291638.2259, 2343465.761199999]
Owyhee|00399760|[-1715671.0627999995, 2266832.3730999995, -1538609.5330999994, 2484724.2115999996]
Power|00394951|[-1397644.8878000006, 2266870.3494000006, -1328434.5553000006, 2361418.5277000004]
Teton|00399297|[-1232114.5508999992, 2374334.1558999997, -1197764.9324999992, 2427730.7738999994]
Twin Falls|00399334|[-1555839.4802, 2254494.2963999994, -1460926.066, 2367639.9044999992]
Taos|00933056|[-893416.7125000004, 1482844.9124999996, -810734.9692000004, 1596640.0006999997]
Golden Valley|01035617|[-618270.1885000002, 2641453.9799000006, -580982.8590000002, 2730076.8361000004]
McKenzie|01035299|[-610900.1692999993, 2724195.9767000005, -492613.55529999925, 2815769.6392000006]
Morton|01034207|[-467482.2287000008, 2598655.9791, -349559.18150000076, 2680562.2973]
Carter|01688746|[-710624.7081000004, 2472284.7930999994, -624367.9538000004, 2604539.4259999995]
Fergus|01719614|[-1076044.7612999994, 2704239.0661999993, -929842.0953999994, 2825218.6464999993]
Gallatin|01720053|[-1224356.8586999997, 2481523.819599999, -1138903.5636999998, 2673342.8046999993]
Judith Basin|01719602|[-1122546.6138000004, 2709965.5011, -1044474.2846000004, 2799187.6523]
Lewis and Clark|00793926|[-1292903.4980999995, 2709973.1943999995, -1182541.3586999995, 2887063.5600999994]
McCone|01716270|[-783028.4603000004, 2716768.8584000003, -690073.1046000004, 2827984.8479000004]
Meagher|01719600|[-1192899.8249999993, 2660184.1589, -1091289.4995999993, 2769514.2154]
Pondera|01719587|[-1292094.1174999997, 2870553.6326, -1150471.3922999997, 2939117.8559000003]
Roosevelt|01669428|[-739262.5776000004, 2803336.155200001, -601138.5920000004, 2877911.1778000006]
Teton|01720018|[-1272181.5079999994, 2823959.2356000002, -1154568.9101999993, 2906682.2216000003]
Garden|00835856|[-550520.4694999997, 2039839.1272999998, -493895.77589999966, 2130793.7314]
Churchill|00858638|[-1953589.6396999992, 1997819.0968999993, -1803216.6866999993, 2125876.9437999995]
Lander|00863368|[-1851308.4242000002, 1983421.2600999996, -1704429.1096000003, 2192179.2883999995]
Pershing|00858646|[-1955276.3270999994, 2092813.3977000006, -1770514.5378999994, 2232032.3460000004]
McKinley|00929107|[-1177784.8280999996, 1396190.7001999998, -1007902.7421999995, 1518871.3823999998]
Rio Arriba|01702368|[-1032911.2332000006, 1477941.7225000001, -849865.1218000005, 1611186.0935000002]
Terrell|01384007|[-632042.0406999998, 761938.5608999999, -540183.2525999998, 861167.5086]
Tooele|01448036|[-1520019.2870000005, 1995039.8409000002, -1350738.8400000005, 2141461.8844000003]
Uintah|01448037|[-1192178.4802, 1903625.3443, -1090561.5786000001, 2063549.6219]
Wasatch|01448039|[-1307699.5598000009, 1974347.4384000003, -1243946.1229000008, 2068690.6915000004]
Pacific|01513274|[-2137748.2852999996, 2897205.3148, -2069064.2166999998, 2960977.2577]
Skagit|01531402|[-1969415.133199999, 3055648.6326, -1820568.101399999, 3124689.0152000003]
Snohomish|01529222|[-1967466.7281, 3003068.0814999994, -1847939.9453999999, 3083602.3873999994]
Yakima|01531929|[-1954970.3690000009, 2792488.3353000004, -1815252.4718000009, 2934357.0271000005]
Big Horn|01605067|[-999432.9423999991, 2404847.1060000006, -884390.8751999991, 2511664.6068000006]
Fremont|01605072|[-1127647.1391000003, 2197371.1888999995, -925249.8847000003, 2418182.8961999994]
Apache|00025441|[-1276290.4969999995, 1248263.1804, -1146479.8793999995, 1641289.7900999999]
Butte|01675842|[-2186554.9747, 2100606.706700001, -2109286.0663, 2189752.818000001]
Solano|00277312|[-2262668.0754000004, 1972034.9680000003, -2189987.6954000005, 2028075.9807000004]
Douglas|00198133|[-797754.8787999991, 1823221.8987000007, -736297.7565999991, 1875002.3722000008]
Gunnison|00198141|[-1005372.1433000006, 1734522.2686, -884133.2964000006, 1862459.1424]
Clatsop|01135846|[-2145483.6515999995, 2836842.4288999997, -2088877.2285999996, 2906108.5305]
Deschutes|01155130|[-2063781.2975999992, 2531044.161800001, -1898140.3221999994, 2655534.214300001]
Douglas|01135849|[-2234868.3302999996, 2503317.4521999992, -2072201.6610999997, 2651726.6902999994]
Dewey|01266994|[-432964.31200000085, 2425506.8519, -333931.7120000009, 2510566.7014]
Borden|01383802|[-531161.1361999996, 1063362.3255000003, -480430.4843999996, 1114864.6028000002]
Crockett|01383838|[-607369.8603000008, 813752.2359999996, -471774.07180000073, 910577.2893999995]
Hudspeth|01383900|[-945586.5072000008, 879799.9089000002, -837460.5377000008, 1041452.8993000002]
Presidio|01383974|[-857739.9609999992, 718277.3534000004, -747251.8861999991, 879799.9089000004]
Reagan|01383977|[-549095.4417000003, 903215.7041999996, -497233.8077000003, 969517.0210999995]
Natrona|01605077|[-941301.3511999995, 2202989.1611, -809776.7646999995, 2334971.8339]
Calaveras|01675885|[-2142591.681500001, 1921136.833900001, -2054961.088500001, 1985612.8405000009]
Pitkin|00198164|[-977107.4680000003, 1825110.4605999999, -888377.6056000004, 1874570.0454]
Idaho|00395699|[-1609692.6669999994, 2611543.9628999997, -1398670.0014999993, 2767443.3693]
Blaine|01722470|[-1019366.1317999996, 2814645.6213000007, -904060.1391999996, 2959099.1507000006]
Grant|01135851|[-1872263.3904, 2545443.5516999997, -1735680.3874, 2676075.9267999995]
Grays Harbor|01531823|[-2123651.9312999994, 2940291.0670999996, -2047094.6515999993, 3044901.1769]
Greeley|00485002|[-523535.50170000084, 1706449.8586, -479364.79330000083, 1757572.4978]
Jackson|00198144|[-905690.1791999992, 1969460.0162000004, -826362.2859999991, 2050988.1234000004]
Broadwater|01719625|[-1217930.7643, 2638490.9612000007, -1156095.795, 2741316.710600001]
Silver Bow|01719575|[-1321063.707800001, 2629198.9586999994, -1254565.602500001, 2688633.411399999]
Colusa|01675902|[-2257352.7398000006, 2066223.164999999, -2182270.0718000005, 2137876.368999999]
Monterey|00277291|[-2276347.2993, 1690009.8210000005, -2145526.1541, 1846611.0804000006]
Stanislaus|00277314|[-2210054.9266, 1858784.1284999996, -2108480.5587, 1953921.4095999997]
San Juan|00198171|[-1043497.4283000007, 1682976.6264999993, -997100.8613000007, 1720849.8216999993]
Caribou|00395406|[-1307074.7139999997, 2261868.3773999996, -1214487.3504999997, 2334985.6026999997]
Shoshone|01702379|[-1543050.9176000003, 2804428.8658000007, -1440455.1059000003, 2947190.1951000006]
Garfield|01716058|[-911628.2530000005, 2691587.9658000004, -767138.2764000006, 2819450.5113000004]
Missoula|01719596|[-1423423.7103000004, 2755645.3528000005, -1311183.1857000003, 2861963.6691000005]
Banner|00835826|[-667385.4251000006, 2066881.5277999993, -608334.1040000005, 2105291.5765999993]
Washoe|00858608|[-2033161.3296000008, 2048973.4878000002, -1899744.5932000007, 2358291.1489000004]
Grant|00915980|[-1211267.3399999999, 1050516.3893, -1080735.8429999999, 1209445.4448]
Curry|01155129|[-2294721.6812999994, 2443066.0405, -2222670.5671999995, 2561350.3287]
Ector|01383853|[-641616.0757999998, 972576.6928000003, -590177.4447999997, 1024180.0325000003]
Carbon|01448018|[-1290038.2789999992, 1915555.1996999998, -1173365.8996999993, 1969583.3412999997]
Grand|01448024|[-1213642.8761, 1796270.7819999997, -1108678.0031, 1915557.2533999996]
Mason|01529221|[-2068589.5151000004, 2969369.2726000007, -2004692.5449000003, 3033998.941900001]
Whatcom|01529224|[-1980402.5775000006, 3089315.6885, -1813943.1232000005, 3172567.9206000003]
Lemhi|00399754|[-1477799.1874000002, 2478168.0502000004, -1329327.1569000003, 2656408.5175000005]
Washington|00399757|[-1674607.4998000003, 2524381.1938000005, -1599460.7818000005, 2608640.7339000003]
Big Horn|01716521|[-993807.4796999991, 2488634.323999999, -804469.581699999, 2617220.558899999]
Mineral|01720030|[-1489232.0987, 2775718.5632000007, -1398099.0021, 2874323.5222000005]
Sanders|01719578|[-1497937.4393000007, 2814347.1043999996, -1374867.8983000007, 2960641.4898999995]
Clark|00863600|[-1760998.1086, 1491829.2025000006, -1585119.6501, 1716408.0414000007]
White Pine|00858615|[-1691827.7016000003, 1886031.8814000003, -1515522.5937000003, 2075519.2991000004]
Thurston|01529226|[-2054513.5797000006, 2916670.6514999997, -1983966.4229000006, 2977672.226]
San Bernardino|00277300|[-1982464.8352000006, 1387167.7096999995, -1646659.5385000005, 1635645.8730999995]
Benton|01155126|[-2181198.4212999996, 2673256.2303, -2113865.4765999997, 2729422.9786]
Brewster|01383807|[-756936.4047999997, 681657.2281999998, -609651.1939999997, 871157.7090999997]
Glasscock|01383872|[-545195.2109999992, 966675.4430999998, -494269.1020999992, 1017952.0499999998]
Loving|01383936|[-750001.0635000002, 979624.3125999998, -688316.6525000002, 1023286.6136999999]
Carbon|01720111|[-1082687.6645, 2507739.2388000004, -946953.5987999999, 2583675.5625000005]
